character,mandarin,qionglai,ipa,checked_final,notes

达,da,dæ,,æ,
热,re,næ,,æ,
色,se,sæ,,æ,
则,ze,zæ,,æ,
黑,hei,hæ,,æ,
墨,mo,mæ,,æ,
特,te,tæ,,æ,
德,de,dæ,,æ,
北,bei,bæ,,æ,
麦,mai,mæ,,æ,
白,bai,bæ,,æ,

吃,chi,cɘ,,ɘ,
十,shi,sɘ,,ɘ,
失,shi,sɘ,,ɘ,
直,zhi,zɘ,,ɘ,
这,zhe,zɘ,,ɘ,白读
那,na,nɘ,,ɘ,白读

别,bie,bie,,ie,
铁,tie,tie,,ie,
节,jie,jie,,ie,
接,jie,jie,,ie,
叶,ye,ie,,ie,
笔,bi,bie,,ie,
力,li,lie,,ie,
去,qu,jie,,ie,白读

国,guo,guæ,,uæ,
刮,gua,guæ,,uæ,

不,bu,bə,,ə,
泼,po,pə,,ə,
佛,fo,fə,,ə,
没,mo,mə,,ə,
木,mu,mə,,ə,
角,jiao,gə,,ə,白读

骨,gu,guə,,uə,
谷,gu,guə,,uə,
活,huo,xuə,,uə,
六,liu,liuə,,uə,
陆,lu,luə,,uə,
读,du,duə,,uə,

月,yue,yə,,yə,
药,yao,yə,,yə,
学,xue,ɕyə,,yə,
决,jue,tɕyə,,yə,
绿,lü,lyə,,yə,
缺,que,tɕʰyə,,yə,
角,jiao,tɕyə,,yə,角色义
